;alarm_date;alarm_time;region;place;attack_number
0;2021-05-20;18:00:37;Gaza Envelope;Mefalsim;1
1;2021-05-20;18:00:37;Gaza Envelope;Nir Am Shooting Range;1
2;2021-05-20;18:00:37;Gaza Envelope;Sderot;1
3;2021-05-20;18:00:37;Gaza Envelope;Ibim;1
4;2021-05-20;18:00:37;Gaza Envelope;Nir Am;1
5;2021-05-20;18:00:44;Western Negev;Zru'a;1
6;2021-05-20;18:00:47;Gaza Envelope;Yakhini;1
7;2021-05-20;18:00:47;Gaza Envelope;Kfar Azza;1
8;2021-05-20;18:00:47;Gaza Envelope;Sa'ad;1
9;2021-05-20;18:00:47;Gaza Envelope;Tkuma;1
10;2021-05-20;18:00:49;Gaza Envelope;Gavim;1
11;2021-05-20;18:00:49;Gaza Envelope;Sapir College;1
12;2021-05-20;18:01:06;Gaza Envelope;Erez;1
13;2021-05-20;18:01:25;Gaza Envelope;Be'eri;1
14;2021-05-20;18:01:25;Gaza Envelope;Zimrat;1
15;2021-05-20;18:01:25;Gaza Envelope;Shuva;1
16;2021-05-20;18:01:25;Gaza Envelope;Kfar Maimon and Tushia;1
17;2021-05-20;18:01:25;Gaza Envelope;Alumim;1
18;2021-05-20;18:01:25;Gaza Envelope;Shokeda;1
19;2021-05-20;18:01:26;Western Negev;Netivot;1
20;2021-05-20;18:01:31;Western Negev;Havat Shikmim;1
21;2021-05-20;18:01:54;Western Lakhish;Ashkelon Southern Industrial Zone;1
22;2021-05-20;18:01:54;Western Lakhish;Zikim;1
23;2021-05-20;18:02:19;Western Lakhish;Nitzan;1
24;2021-05-20;18:02:19;Western Lakhish;Nitzanim;1
25;2021-05-20;18:02:27;Western Lakhish;Ashkelon Northern Industrial Zone;1
26;2021-05-20;18:02:27;Western Lakhish;Ashkelon - North;1
27;2021-05-20;18:02:27;Western Lakhish;Ashkelon - South;1
28;2021-05-20;18:02:27;Western Lakhish;Be'er Ganim;1
29;2021-05-20;18:02:31;Lakhish;Ashdod - Alef,Bet,Dalet,Heh;1
30;2021-05-20;18:02:31;Lakhish;Ashdod - Northern Industrial Zone And Port;1
31;2021-05-20;18:02:31;Lakhish;אשדוד -יא,יב,טו,יז,מרינה,סיטי;1
32;2021-05-20;19:42:54;Gaza Envelope;Netiv HaAssara;2
33;2021-05-20;19:43:46;Gaza Envelope;Erez;2
34;2021-05-20;19:43:46;Gaza Envelope;Yad Mordechai;2
35;2021-05-20;19:44:01;Gaza Envelope;Netiv HaAssara;2
36;2021-05-20;19:44:25;Gaza Envelope;Netiv HaAssara;2
37;2021-05-20;19:53:32;Gaza Envelope;Yad Mordechai;3
38;2021-05-20;19:53:32;Gaza Envelope;Netiv HaAssara;3
39;2021-05-20;20:49:43;Gaza Envelope;Holit;4
40;2021-05-20;20:49:43;Gaza Envelope;Kerem Shalom;4
41;2021-05-20;20:49:43;Gaza Envelope;Sufa;4
42;2021-05-20;20:49:52;Gaza Envelope;Avshalom;4
43;2021-05-20;20:49:52;Gaza Envelope;Yevul;4
44;2021-05-20;20:49:52;Gaza Envelope;Yated;4
45;2021-05-20;20:49:52;Gaza Envelope;Sdeh Avraham;4
46;2021-05-20;20:50:08;Gaza Envelope;Dekel;4
47;2021-05-20;21:27:50;Gaza Envelope;Be'eri;5
48;2021-05-20;21:27:56;Gaza Envelope;Nachal Oz;5
49;2021-05-20;21:27:56;Gaza Envelope;Alumim;5
50;2021-05-20;21:28:02;Gaza Envelope;Zimrat;5
51;2021-05-20;21:28:02;Gaza Envelope;Shuva;5
52;2021-05-20;21:28:02;Gaza Envelope;Kfar Azza;5
53;2021-05-20;21:28:02;Gaza Envelope;Sa'ad;5
54;2021-05-20;21:28:18;Gaza Envelope;Shokeda;5
55;2021-05-20;21:33:57;Gaza Envelope;Nirim;6
56;2021-05-20;21:33:57;Gaza Envelope;Ein HaShlosha;6
57;2021-05-20;21:37:17;Gaza Envelope;Netiv HaAssara;7
58;2021-05-20;22:12:40;Gaza Envelope;Kfar Azza;8
59;2021-05-20;22:28:59;Gaza Envelope;Nir Oz;9
60;2021-05-20;22:29:05;Gaza Envelope;Nirim;9
61;2021-05-20;22:30:18;Gaza Envelope;Magen;10
62;2021-05-20;22:30:18;Gaza Envelope;Nir Oz;10
63;2021-05-20;22:30:18;Gaza Envelope;Nirim;10
64;2021-05-20;22:31:20;Gaza Envelope;Kerem Shalom;11
65;2021-05-20;22:31:21;Gaza Envelope;Holit;11
66;2021-05-20;22:31:32;Gaza Envelope;Yevul;11
67;2021-05-20;22:31:33;Gaza Envelope;Yated;11
68;2021-05-20;22:31:33;Gaza Envelope;Sufa;11
69;2021-05-20;22:31:33;Gaza Envelope;Sdeh Avraham;11
70;2021-05-20;22:31:41;Gaza Envelope;Talmei Yossef;11
71;2021-05-20;22:31:58;Western Negev;Gvulot;11
72;2021-05-20;22:32:16;Gaza Envelope;Talmei Eliyahu;11
73;2021-05-20;22:32:21;Gaza Envelope;Zohar;11
74;2021-05-20;22:32:21;Gaza Envelope;Ohad;11
75;2021-05-20;22:34:22;Gaza Envelope;Sufa;12
76;2021-05-20;22:34:22;Gaza Envelope;Pri Gan;12
77;2021-05-20;22:49:37;Gaza Envelope;Kissufim;13
78;2021-05-20;22:49:46;Gaza Envelope;Mivtahim;13
79;2021-05-20;22:49:46;Gaza Envelope;Ami'oz;13
80;2021-05-20;22:49:46;Gaza Envelope;Yesha;13
81;2021-05-20;22:49:46;Gaza Envelope;Zohar;13
82;2021-05-20;22:49:46;Gaza Envelope;Ohad;13
83;2021-06-17;21:17:37;Gaza Envelope;Kfar Azza;14
84;2021-07-20;00:54:33;Confrontation Line;Avdon;15
85;2021-07-20;00:54:34;Confrontation Line;Rosh HaNikra;15
86;2021-07-20;00:54:36;Upper Galilee;Netiv HaShayara;15
87;2021-07-20;00:54:36;Upper Galilee;Sheikh Danun;15
88;2021-07-20;00:54:36;Upper Galilee;Hanita;15
89;2021-07-20;00:54:36;Upper Galilee;Ya'ara;15
90;2021-07-20;00:54:36;Upper Galilee;Cabri;15
91;2021-07-20;00:54:36;Upper Galilee;Metzuba;15
92;2021-07-20;00:54:44;Confrontation Line;Idmit;15
93;2021-07-20;00:54:44;Confrontation Line;Shlomi;15
94;2021-08-04;09:15:50;Confrontation Line;Kfar Giladi;16
95;2021-08-04;09:15:50;Confrontation Line;Kiryat Shmona;16
96;2021-08-04;09:15:50;Confrontation Line;Tel Hai;16
97;2021-08-06;07:54:55;Northern Golan;Ein Quiniyye;17
98;2021-08-06;07:54:56;Northern Golan;Neveh Ativ;17
99;2021-08-06;07:54:56;Confrontation Line;Snir;17
100;2021-08-16;10:32:01;Gaza Envelope;Erez;18
101;2021-08-16;10:32:01;Gaza Envelope;Nir Am Shooting Range;18
102;2021-08-16;10:32:01;Gaza Envelope;Sderot;18
103;2021-08-16;10:32:01;Gaza Envelope;Ibim;18
104;2021-08-16;10:32:01;Gaza Envelope;Nir Am;18
105;2021-09-10;19:51:06;Gaza Envelope;Shlomit;19
106;2021-09-10;19:51:06;Gaza Envelope;Avshalom;19
107;2021-09-10;19:51:06;Gaza Envelope;Yevul;19
108;2021-09-11;18:00:31;Gaza Envelope;Gavim;20
109;2021-09-11;18:00:31;Gaza Envelope;Sapir College;20
110;2021-09-11;18:00:31;Gaza Envelope;Nir Am Shooting Range;20
111;2021-09-11;18:00:31;Gaza Envelope;Mefalsim;20
112;2021-09-11;18:00:31;Gaza Envelope;Sderot;20
113;2021-09-11;18:00:31;Gaza Envelope;Ibim;20
114;2021-09-11;18:00:31;Gaza Envelope;Nir Am;20
115;2021-09-12;17:48:34;Gaza Envelope;Sderot;21
116;2021-09-12;17:48:34;Gaza Envelope;Ibim;21
117;2021-09-12;17:48:34;Gaza Envelope;Nir Am;21
118;2021-09-12;17:48:37;Gaza Envelope;Gavim;21
119;2021-09-12;17:48:37;Gaza Envelope;Sapir College;21
120;2021-09-12;17:48:37;Gaza Envelope;Nir Am Shooting Range;21
121;2021-09-12;23:24:03;Gaza Envelope;Kissufim;22
122;2021-09-12;23:24:03;Gaza Envelope;Ein HaShlosha;22
123;2021-10-18;12:21:36;Western Lakhish;Ashkelon Southern Industrial Zone;23
124;2021-10-18;12:21:36;Western Lakhish;Mavki'im;23
125;2021-10-18;12:21:47;Gaza Envelope;Gavim;23
126;2021-10-18;12:21:47;Gaza Envelope;Sapir College;23
127;2021-10-18;12:21:47;Gaza Envelope;Sderot;23
128;2021-10-18;12:21:47;Gaza Envelope;Ibim;23
129;2021-10-18;12:21:47;Gaza Envelope;Nir Am;23
130;2021-10-18;12:21:47;Gaza Envelope;Mefalsim;23
131;2021-10-18;12:21:54;Gaza Envelope;Zikim;23
132;2021-10-18;12:21:54;Gaza Envelope;Yad Mordechai;23
133;2021-10-18;12:21:54;Gaza Envelope;Karmia;23
134;2021-10-18;12:21:54;Gaza Envelope;Netiv HaAssara;23
135;2021-11-03;08:05:01;Upper Galilee;Carmiel Industrial Zone;24
136;2021-11-03;08:05:01;Upper Galilee;Kfar Kama;24
137;2021-11-03;08:05:01;Upper Galilee;Kiryat Yam;24
138;2021-11-03;08:05:01;Upper Galilee;Kiryat Atta;24
139;2021-11-03;08:15:01;Upper Galilee;Karmiel;24
140;2021-11-03;08:15:01;Upper Galilee;Acre;24
141;2021-11-03;08:15:01;Upper Galilee;Yavne'el;24
142;2021-11-03;08:15:01;Upper Galilee;Migdal;24
143;2021-11-03;08:15:01;Upper Galilee;Kiryat Biyalik;24
144;2021-11-03;08:15:01;Upper Galilee;Shfaram;24
145;2021-11-03;08:25:02;Central Negev;Lakiya and the Bedouin Diaspora;24
146;2021-11-03;08:25:02;Central Negev;Omer;24
147;2021-11-03;08:35:00;Lower Galilee;Tzemach Industrial Zone;24
148;2021-11-03;08:35:00;Lower Galilee;Kinneret Academic College;24
149;2021-11-03;08:35:00;Lower Galilee;Ha'On;24
150;2021-11-03;08:35:00;Lower Galilee;Masada;24
151;2021-11-03;08:35:00;Lower Galilee;Ma'agan;24
152;2021-11-03;08:35:00;Lower Galilee;Sha'ar HaGolan;24
153;2021-11-03;08:35:00;Lower Galilee;Tel Katzir;24
154;2021-11-03;08:44:59;Southern Golan;Bnei Yehuda and Givat Yoav;24
155;2021-11-03;08:44:59;Southern Golan;Gshur;24
156;2021-11-03;08:44:59;Southern Golan;Hamat gader;24
157;2021-11-03;08:44:59;Southern Golan;Kfar Haruv;24
158;2021-11-03;08:44:59;Southern Golan;Mevo Hama;24
159;2021-11-03;08:44:59;Southern Golan;Neot Golan;24
160;2021-11-03;08:44:59;Southern Golan;Gonen;24
161;2021-11-03;08:44:59;Southern Golan;Ga'aton;24
162;2021-11-03;08:44:59;Southern Golan;Yechiam;24
163;2021-11-03;08:44:59;Southern Golan;Kfar Vradim;24
164;2021-11-03;08:44:59;Southern Golan;Kfar Szold;24
165;2021-11-03;08:44:59;Southern Golan;Lehavot HaBashan;24
166;2021-11-03;08:44:59;Southern Golan;Evron;24
167;2021-11-03;08:44:59;Southern Golan;Amir;24
168;2021-11-03;08:44:59;Southern Golan;Shamir;24
169;2021-11-03;16:05:02;Menashe;Hadera - West;25
170;2021-11-03;16:05:02;Menashe;Jerusalem - North;25
171;2021-11-03;16:05:02;Menashe;Palmachin Industrial Park;25
172;2021-11-03;16:05:02;Menashe;Ramat Gan - West;25
173;2021-11-03;16:05:02;Menashe;Ashkelon - North;25
174;2021-11-03;16:15:03;Western Lakhish;Ashkelon - South;25
175;2021-11-03;16:15:03;Western Lakhish;Ashkelon - North;25
176;2021-11-03;16:15:03;Western Lakhish;Jerusalem - Atarot Industrial Zone;25
177;2021-11-03;16:15:03;Western Lakhish;Jerusalem - South;25
178;2021-11-03;16:15:03;Western Lakhish;Jerusalem - Qafr 'Aqab;25
179;2021-11-03;16:15:03;Western Lakhish;Jerusalem - East;25
180;2021-11-03;16:15:03;Western Lakhish;Herzeliya - Center and Glil Yam;25
181;2021-11-03;16:15:03;Western Lakhish;Rishon LeZion - East;25
182;2021-11-03;16:15:03;Western Lakhish;Hadera - Neveh Haim;25
183;2021-11-03;16:25:00;Western Lakhish;Ashkelon Northern Industrial Zone;25
184;2021-11-03;16:25:00;Western Lakhish;Hadera - Center;25
185;2021-11-03;16:25:00;Western Lakhish;Jerusalem - Center;25
186;2021-11-03;16:25:00;Western Lakhish;Jerusalem - East;25
187;2021-11-03;16:25:00;Western Lakhish;Jerusalem - North;25
188;2021-11-03;16:25:00;Western Lakhish;Rishon LeZion - West;25
189;2021-11-03;16:34:59;Western Lakhish;Ashkelon Southern Industrial Zone;25
190;2021-11-03;16:34:59;Western Lakhish;Jerusalem - East;25
191;2021-11-03;16:34:59;Western Lakhish;Jerusalem - West;25
192;2021-11-03;16:34:59;Western Lakhish;Jerusalem - Center;25
193;2021-11-03;16:34:59;Western Lakhish;Jerusalem - North;25
194;2021-11-03;16:34:59;Western Lakhish;Herzliya - West;25
195;2021-11-03;16:34:59;Western Lakhish;Netanya - West;25
196;2021-11-03;16:45:01;Menashe;Hadera - East;25
197;2021-11-03;16:45:01;Menashe;Jerusalem - Atarot Industrial Zone;25
198;2021-11-03;16:45:01;Menashe;Jerusalem - South;25
199;2021-11-03;16:45:01;Menashe;Netanya - East;25
200;2021-11-03;16:45:01;Menashe;Ramat Gan - East;25
201;2022-02-07;08:09:03;Upper Galilee;Acre;26
202;2022-02-07;08:09:05;HaMifratz;Nesher;26
203;2022-02-07;08:09:05;Bika'a;Argaman;26
204;2022-02-07;08:09:05;Bika'a;Beka'ot;26
205;2022-02-07;08:09:05;Bika'a;Gitit;26
206;2022-02-07;08:09:05;Bika'a;Gilgal;26
207;2022-02-07;08:09:05;Bika'a;Hemdat;26
208;2022-02-07;08:09:05;Bika'a;Hamra;26
209;2022-02-07;08:09:05;Bika'a;Yitav;26
210;2022-02-07;08:09:05;Bika'a;Yafit;26
211;2022-02-07;08:09:05;Bika'a;Mevuot Yericho;26
212;2022-02-07;08:09:05;Bika'a;Mehola;26
213;2022-02-07;08:09:05;Bika'a;Mekhora;26
214;2022-02-07;08:09:05;Bika'a;Masua;26
215;2022-02-07;08:09:05;Bika'a;Maskiot;26
216;2022-02-07;08:09:05;Bika'a;Na'ama;26
217;2022-02-07;08:09:05;Bika'a;Niran;26
218;2022-02-07;08:09:05;Bika'a;Netiv HaGdud;26
219;2022-02-07;08:09:05;Bika'a;Petza'el;26
220;2022-02-07;08:09:05;Bika'a;Roee;26
221;2022-02-07;08:09:05;Bika'a;Rotem;26
222;2022-02-07;08:09:05;Bika'a;Shadmot Mechola;26
